"rmse_muPIr","rrmse_muPIr"
2749.06810255385,18.4082127454677
2601.15713101598,12.1035066201589
12997.3631195816,13.8331175245738
5224.85190371484,14.3689054780753
1040.08850545014,12.9984261403129
3851.56026528046,12.2860482414344
8433.46849057338,11.751195463136
34841.4053844842,12.7834519924031
2682.47108695778,13.1461287143092
3919.04838373178,20.4803796760984
8102.37006252133,12.0606512718674
4490.68066600215,16.1921456103346
3611.321304904,14.719102962301
5184.20222330675,13.9738343211609
7196.59068498005,13.1662418587513
1588.56624001225,15.6641106086532
4754.38696398507,12.6943079548652
7886.18424961982,16.9686165288709
2795.94457235758,18.1630869756815
4742.30534633664,13.1047896448042
4440.32895802253,16.2744316320701
2362.00768408924,17.8147092425064
5752.10027379231,18.3890968494233
2802.83900681835,11.6361742788063
3974.50000139456,17.5256159599839
1960.78995393456,12.3223053340486
1771.96148117677,11.9892251200157
49527.3740708628,14.2478797962709
11678.5726052892,14.1280430965165
17107.9140857449,21.7239175943671
3667.59491896338,11.205563011867
2056.01696032061,16.0862749723089
6421.01343715584,13.5944258254961
963.586748095066,12.9416309161538
8421.94131065354,12.0129869887256
6658.1717070163,14.1972299987316
2472.35112026294,15.0042438227406
10287.7088561045,15.6800651265926
4359.85158629036,13.8340456123881
1269.31905739055,15.4707538151504
13876.0303877733,13.6796430137815
685.848370629063,13.2880549500722
6660.29405393267,16.8133310131159
743.616164226058,10.644117752848
5458.35472835453,16.6644621198007
29192.9521318814,21.3806988677668
3451.39858749512,12.9700038688412
7950.90937434974,15.1183345832799
1170.56499298046,15.1873931646951
8578.87018689596,16.4874563336502
760.885252351084,15.7411378173096
653.433810983531,16.3491348652001
3016.53839902291,19.1483704017718
2472.02061359594,12.5910743572948
11812.6325957755,12.7854999712355
4820.82944872646,13.3862394700303
1085.83878293597,15.580114317165
5930.04511968391,19.175863157439
10231.411681917,14.2932197649592
33892.8184338981,13.1600235332118
2483.45692950008,15.739200928248
2943.66155082918,15.1011495416615
7791.462322768,12.9637727814973
3763.58082933345,12.7213524731618
3594.53809351362,15.3370880427606
6093.77095432411,16.963918516135
7799.58459190352,15.8542845187956
1511.983317031,16.463964942622
6483.42440058061,16.1144778949185
5987.50964414001,13.5035637106419
1857.5657999357,13.3104616140429
4940.40672805019,15.7524178248724
4647.88526050586,18.3523006215964
2004.61454953081,19.3165597976431
5930.66618889605,20.3611709008069
3088.17778913724,13.8931937389199
1986.31876398131,10.0183191959506
2656.1763119968,17.8107142728302
1711.38970957761,12.4138950267008
51674.7665868533,14.6488378292602
12018.5352108022,14.32236249915
7469.06336097296,10.1782630688311
4112.78225644852,12.9914752950471
2295.60313658894,16.9668835154534
7633.230603871,16.3745495034591
1017.85267389821,14.6290963209413
7590.1740981164,10.7187237748013
6932.80343930756,15.1530080331644
1537.69745706609,10.8054945979728
7620.02402240736,11.9379586723219
4531.2913613214,15.6343579947078
906.637261130441,15.6680364825435
19482.3837651129,19.5168803235668
778.406698869344,18.0180919999282
4228.88351900155,11.8198198103404
921.994075918878,14.4141352183187
4583.8200344348,14.2648496098134
20644.0938325499,15.811451641923
2582.87240561286,9.95189956817607
7423.58138639006,14.7733687170037
1212.16779318558,16.0904505617819
8677.57422968353,18.4962085134623
426.259598244661,11.7609124835483
946.42956945026,21.7491174389619
571.12558704891,13.4803486288327
870.592558353297,21.5576269669255
4202.44029846874,18.9708305926252
1474.11837444162,21.2260996764887
376.479831366268,15.0400675923279
1065.52056832641,14.701041950632
1723.18930724421,11.4035648846999
10970.7666612372,17.1392233767226
844.226047122191,14.0245526124719
665.61269096376,15.0000617335555
1926.98017597477,13.7543794029736
843.20862084823,12.1886220386523
941.829047526684,14.9688288025879
1029.06549148895,12.5276958972085
2490.86875221179,16.7683834431028
473.227345981815,16.447711243411
704.369527316135,9.27719610231446
1199.9007741808,11.7548378180114
475.261439132919,13.8689504805441
1588.49276567996,16.5309651090682
984.538402667908,17.3084624276228
367.512090336345,12.4088599050748
1292.37178389379,16.3817700116383
957.534576262263,13.8296154813178
1100.55523774849,16.188801009301
668.747940952731,15.6664099943614
634.427320278086,13.7508883183073
14571.2418131157,19.5602433381627
2447.3490696495,14.6276438134927
1610.24057600853,11.2389685412656
1456.2179178739,16.8388956122713
571.215730300763,15.9363331660621
3073.52264226605,20.4545826187111
400.647817095559,16.3055434673662
2792.10882677633,19.5682272715962
1348.95375286044,12.9149587703767
622.290153115355,13.1730328801158
1739.61674811529,11.8919770159721
812.205745609371,10.4462103523682
404.07854682093,16.7361819819083
2020.18342866092,10.3522903089739
130.432978400755,10.5635542385915
1272.24406195437,12.6734531653029
275.630362724146,14.0675909580173
1034.34255595884,14.1096024901754
4866.71680484204,16.1119136440385
714.963940643927,10.8621214194951
2128.60949005366,13.8072355554147
390.492111262569,14.4788773237557
2119.65436111689,17.1204495791529
105.181002781201,10.8932041356962
202.717160603718,18.2412996845524
628.253395451961,12.9286278444348
766.006536572098,13.6080160870816
5317.14099870931,17.6549088141882
1376.37066273836,18.6948772090285
579.006505934274,17.2771715857583
1303.79208408794,16.0955133557872
2436.93486623766,13.227177931046
9543.17878524353,11.7064715211511
714.581848422113,13.9385451205994
945.660228168279,16.6066110463867
2229.13092300941,14.1037862485405
937.969109920794,11.9618501755174
1057.38897159678,16.5163373035288
1660.06109716672,16.2725774088587
2475.17796952559,13.223709875679
423.466898702709,15.1041941278007
1627.9972082961,14.5012486065632
1662.83538424742,13.3181401969161
747.022050828974,20.1044271689441
1150.14741866487,10.3930198743538
893.476293451802,14.8648174914138
