"RRPlugIN","RRESP"
13.1237525113593,13.325654592858
17.9806396798468,18.0028995368468
18.5421800731634,18.3477375658898
17.1076712326043,17.0176176284509
15.2203414117529,14.9620914159699
17.8847304044603,17.4238594231469
18.3425821923424,17.5289812134407
9.36526726435045,9.74505513896151
12.3359983058388,12.5071606815821
14.6258047793998,14.692645700709
21.0053225915015,20.2818658512039
14.6808393479925,14.1973068021782
15.0738646416877,14.5666615559827
15.277144330243,14.7714860436044
15.7928054992113,15.8987954735084
14.9675917379339,14.794981198068
16.5427444450313,16.2244884717535
13.4100971652135,13.0571956704083
16.764695030854,16.1299949462083
14.8794857212918,14.5040664607217
11.679812171279,11.9472253229362
11.6030790600927,11.7113260286698
19.594944001954,18.8387785414763
18.0269764599636,17.4318254129648
11.8693121496899,12.0719209240584
14.1153715232242,13.9714290320001
14.1351522840685,13.83677571366
13.9286072180754,13.9417333710432
15.0364831820421,14.8590184874236
10.3920306988284,10.8719000654259
11.9636154631498,11.8373803577663
14.7132703807782,14.597444440635
13.4853636287761,13.207969393411
13.57624918736,13.1824437176133
11.5317517735185,11.6263928797766
16.0827154219134,15.5541781521039
11.917497084474,11.7642794262929
14.154537199104,14.8959309866086
16.7643417505363,16.4725606577426
16.4297621266922,16.2327242456385
12.0401039647986,11.918509970693
14.370485933334,14.1879419946172
19.3461359175816,19.1271504550495
14.2769272272046,14.110919769797
12.7848962071549,12.4508913855771
14.4998843915186,14.4174642645294
11.7877555029491,11.6015225610354
13.6046482886645,13.8789306454277
18.4546006620184,17.9207667285728
15.4117760969991,14.6866569544319
11.7777917825271,12.0979720212978
13.81531960007,14.4920923411297
15.8182878338953,15.6857900272005
15.1685705400783,15.1317705455601
12.9424931875317,13.0631186665899
11.5088005801205,11.5904472825323
13.2053716129737,13.2650460113313
19.5489299810896,19.5013544804886
18.2793109423501,17.624263955665
11.541171665247,11.3911670888297
17.5418279565994,16.9936654939639
16.0350303689968,15.8207729023829
13.829164334551,13.8885602863456
13.8978017069969,13.6658642830911
18.0124277231498,17.476506062616
15.1950689841283,14.9231407018139
16.9549251083944,16.4419189849129
15.7287237711967,15.0149549736059
11.0595069372493,11.3354835239714
16.6951196249184,16.6386221020266
15.0106987073642,14.1534651176505
17.1945154209503,16.8355806250087
11.8056588109502,11.4804251091732
11.5006780327355,12.1245579212234
10.2972951879493,11.0245527803521
10.7447366370168,11.418289787892
11.3587922500135,11.3323754550336
12.7338791479619,12.7680449080566
13.6549180789835,13.5227255806987
21.905795548639,21.0713705087095
12.3397099702458,12.3485684336658
14.7743527535954,14.405485140035
15.6411550691602,15.3572331537544
14.4800353556709,14.7093324654348
15.3089667392949,14.9102620644183
12.8580580590255,12.7336489573517
14.1501620724853,14.0373869863941
14.6164554713632,14.0787583336934
13.4741533765282,13.2884904778119
11.2291235745887,11.0463482159775
16.6996771225205,16.1329559566059
14.0210155326304,13.5680090470859
