"PlugIN","ESP"
1938.1867255916,1968.00471658856
3729.70176348432,3734.31909798332
17297.6424043875,17116.2507370776
5981.48009595356,5949.99399632677
1177.47291300537,1157.49423009728
5762.42800923891,5613.93620694124
14018.2616420217,13396.4696132412
25299.2049513439,26325.1587235758
2473.53033353753,2507.85064697022
2738.90213180086,2751.4191005849
14065.5836007478,13581.1425159774
4051.80493599114,3918.353468442
3859.30907302271,3729.45163320512
5620.54319121032,5434.50880031833
8297.85308851152,8353.54232217021
1509.24252390148,1491.83750835854
6354.71853859425,6232.46390665412
6437.60291068974,6268.19029106773
2584.70803443038,2486.85272568673
5265.39702642537,5132.54757885073
3201.05047616669,3274.33958252325
1490.58352001757,1504.4894105676
6109.96485682684,5874.18238207189
4617.88471194249,4465.4277024525
2641.79981220038,2686.8952495203
2205.9622280535,2183.46677349676
2111.60802893708,2067.03444748147
48831.6579164012,48877.6762871866
12671.3679321365,12521.8169757559
8049.70389322341,8421.41240915124
3943.08995517983,3901.48410638254
1977.99400198641,1962.42281971703
6722.30221624807,6584.02430736099
993.844950871336,965.016548244661
8031.29710165735,8097.2099705186
7513.00320693236,7266.09824723556
2004.96355130699,1979.18667736339
9022.56386012856,9495.15245127559
5249.15784480512,5157.79696496892
1326.72973949043,1310.81861341421
12225.633547539,12102.165875012
760.816348842688,751.151928752643
7783.23728136622,7695.13618338376
1031.45059078239,1019.45721942926
4294.37009363381,4182.17987373115
19678.0096912256,19566.1561057863
3191.18147894611,3140.76449202643
7142.83851174513,7286.84477632549
1417.66219470227,1376.65365707227
8250.5109626638,7862.32705723104
547.368513792925,562.248771881865
541.344254145923,567.863150946068
2470.00668425926,2449.31731056581
2988.86324732546,2981.61205969203
12439.9380373416,12555.879646386
4118.94433339789,4148.16529520869
946.288712615978,950.564942869312
6189.40008591832,6174.33717414811
13256.4677476166,12781.4165118478
30818.2577387764,30417.7022464822
2724.4238259951,2639.28863498677
3082.81442672577,3041.62236198307
8250.91498765207,8286.35248315159
4235.36221555494,4164.67916637251
4313.50718489856,4185.1679088839
5687.62389667191,5585.83917965037
8454.60125208192,8198.78990604622
1383.32467936225,1320.54946584657
4444.23908149395,4555.13967943621
7320.70169915377,7295.92790171334
2140.87171025807,2018.6104366772
5321.06810136076,5209.99102553769
2957.52791467013,2876.05107655375
1129.48296463329,1190.75428307371
2956.98574055142,3165.826051642
2493.17643492574,2649.46568613426
2145.52714833749,2140.53736161071
1886.5919268706,1891.65376595522
1917.43799429492,1898.87538430298
77269.1128322772,74325.814908345
10434.1031831276,10441.5936445397
10580.9787917496,10316.8061094576
4963.04927627782,4872.95884174513
1923.95218415283,1954.41873097499
7032.8083471074,6849.64683051034
883.981338062962,875.428310563786
9869.16475273985,9790.50869926593
6720.22513931919,6473.00748597032
1977.65393262727,1950.40346638062
7443.23966912093,7322.08677675886
4861.94236530386,4696.94722044809
831.943756281347,805.064396770863
15602.7305421684,15324.8520254115
672.698058942746,657.447358749285
7814.23320630211,7616.0958674052
989.601472253765,961.089692892107
5093.29552323552,4863.09681172513
22160.0893596286,21418.9119214893
3631.43550423833,3491.98434859678
7025.28003533114,7159.72983678479
1293.97883670922,1287.08311033553
6609.90488871552,6607.92938647313
502.62463100634,516.266039615007
603.264009653431,591.335074529506
636.909274062532,651.676773331944
776.79513233537,755.368781315775
3479.70166334311,3478.91249032592
973.93575645195,943.853527796087
319.928933034363,314.850949913176
1366.23567794658,1310.63962720923
1890.92433842026,1905.04764573095
9263.36520231081,9179.74639887681
1016.32640246094,999.948490996374
628.725909177377,610.868465188376
1818.73758007878,1803.81026952339
987.538902180328,974.436756114842
832.698319247311,825.88710286551
873.319966229524,878.118427633594
2169.30173042274,2146.65283190049
382.34495167866,379.541046143871
882.624453120891,863.702266721661
1286.52723404783,1344.94223810495
321.246124066333,352.43582567835
1352.11354602257,1363.18051849276
1114.33233487863,1083.28607972086
416.017343689886,410.083243235536
1346.56396029473,1307.06741703067
1534.80791643765,1474.39182183604
901.337253175956,863.087582644103
476.034286797428,476.968536434083
714.318905295926,697.176200601554
10931.7933013778,10687.0204855651
2087.43388109019,2150.16909205685
1368.90444734179,1479.26057680352
1168.95054397075,1133.86041474069
584.75977544482,555.275909193906
2437.50029824588,2403.33246316178
317.474534483817,318.52540581662
1501.72988036715,1538.5936282857
1290.71970174701,1253.5878972121
850.553390723958,796.748687093897
2006.93109087695,1958.95343355445
1222.15421588925,1199.56966686304
381.770290015123,379.597628991144
3476.51144331952,3343.42175043262
170.13945561197,166.105408901322
1404.90514714964,1397.26447578842
238.927200214234,254.476909542904
1100.63229534715,1082.48687011769
4220.98626480747,4227.77221794174
1122.94003967188,1113.46101426146
2529.42344413738,2471.31464584982
600.565427015509,598.88228914087
1720.54484249118,1722.20676753253
143.987855168081,144.08877717772
131.171945439454,132.667281128224
608.834989296386,604.366457700052
911.830875968823,906.272825666322
3950.09708828348,3928.04705203455
893.803919662178,878.909769932562
552.935334622834,545.423380767058
1126.76509829435,1076.22792827938
2055.60360956533,2086.65556198031
12587.3487412905,12155.176573137
